county,license_number,operation_type,establishment_type,entity_name,dba_name,street_number,street_name,address_line_2,address_line_3,city,state,zip_code,square_footage,location,geom,borough,street_name_normalized
Queens,733097,Store,A     ,WALGREEN EASTERN CO INC          ,RITE AID #03962        ,45-02,43RD AVENUE            ,             ,               ,SUNNYSIDE         ,NY,11104,0,"45 02 43RD AVENUE
SUNNYSIDE, NY 11104
",0101000020E6100000FAA7F0F0D27A52C0E081ACA85B5F4440,Queens,
Bronx,721121,Store,A     ,FAMILY DOLLAR STORE O F NY INC   ,FAMILY DOLLAR STORE #31,939,E TREMONT AVE                ,             ,               ,BRONX             ,NY,10460,0,"939 E TREMONT AVE
BRONX, NY 10460
(40.841492, -73.883183)",0101000020E6100000A975EEC0887852C092A41FE1B86B4440,Bronx,
Queens,639713,Store,JAC   ,RINAPHER INC                     ,COMPARE                ,48-18,BROADWAY                   ,             ,               ,ASTORIA           ,NY,11103,0,"48 18
ASTORIA, NY 11103
",0101000020E6100000977DEB43667A52C0FD9B058DC1604440,Queens,
Queens,724161,Store,JAC   ,GOLDEN OWL BROTHERS INC          ,GOLDEN SUSHI           ,43-18,CRESCENT ST            ,             ,               ,LONG ISLAND CITY  ,NY,11101,0,"43 18 CRESCENT ST
LONG ISLAND CITY, NY 11101
",0101000020E61000001E726EAC4F7C52C05D4CBE18D45F4440,Queens,
Richmond,725909,Store,JAC   ,SAL'S PRIME MEATS & SALUMERIA LLC,SAL'S PRIME MEATS & SAW,645,ROSSVILLE AVE                ,             ,               ,STATEN ISLAND     ,NY,10309,0,"645 ROSSVILLE AVE
STATEN ISLAND, NY 10309
(40.542601, -74.208353)",0101000020E6100000C79B42C7538D52C03B7F4AFD6B454440,Staten Island,
Queens,734653,Store,JAC   ,AZIZ DELI & GRILL CORP           ,AZIZ DELI & GRILL      ,103-02,LIBERTY AVE               ,             ,               ,OZONE PARK        ,NY,11417,0,"103 02 LIBERTY AVE
OZONE PARK, NY 11417
",0101000020E610000027A2EE2A9C7552C0F11EF46842574440,Queens,
Kings,727205,Store,JAC   ,HANY EID.WANY                    ,HANYS COMPANY 03/12/17 ,630,FLUSHING AVE 2ND FL          ,             ,               ,BROOKLYN          ,NY,11206,0,"630 FLUSHING AVE
BROOKLYN, NY 11206
(40.699997, -73.948214)",0101000020E6100000B57A1D65B37C52C0192AB96198594440,Brooklyn,
Queens,732113,Store,JAC   ,MORE GOOD LIFE LLC               ,MORE GOOD LIFE         ,43-66,11TH STREET          ,             ,               ,LONG ISLAND CITY  ,NY,11101,0,"43 66 11TH STREET
LONG ISLAND CITY, NY 11101
",0101000020E6100000F0F71037BC7C52C02CDAB77211604440,Queens,
Kings,616147,Store,JAC   ,MT VERNON FRUITS MARKET INC      ,WEST INDIAN GROCERY    ,265,KINGSTON AVE                 ,             ,               ,BROOKLYN          ,NY,11213,0,"265 KINGSTON AVE
BROOKLYN, NY 11213
(40.670672, -73.94207)",0101000020E6100000FC2AC0C04A7C52C09734C0B1D9554440,Brooklyn,
Queens,732836,Store,JAC   ,ANTHONY DELI GROCERY INC         ,ANTHONY DELI GROCERY   ,665,ONDERDONK AVE                ,             ,               ,RIDGEWOOD         ,NY,11385,0,"665 ONDERDONK AVE
RIDGEWOOD, NY 11385
(40.704234, -73.907638)",0101000020E61000002D1F7D5F197A52C0C90E7DB9275A4440,Queens,
Queens,718052,Store,JAC   ,VANEGAS MINI MARKET CORP         ,VANEGAS MINI MARKET    ,107-19,JAMAICA AVE               ,             ,               ,RICHMOND HILL     ,NY,11418,0,"107 19 JAMAICA AVE
RICHMOND HILL, NY 11418
",0101000020E6100000060BA12FBF7552C00606E87506594440,Queens,
Bronx,720272,Store,JAC   ,ALANS DELI GROCERY CORP          ,ALANS DELI GROCERY     ,1246,SHAKESPEARE AVE         ,             ,               ,BRONX             ,NY,10452,0,"1246 SHAKESPEARE AVE
BRONX, NY 10452
(40.838304, -73.923157)",0101000020E61000000464AD76147B52C01C233C4E4F6B4440,Bronx,
Queens,672281,Store,JAC   ,JRD GROCERY CORP                 ,JRD GROCERY            ,102-60,43RD AVENUE               ,             ,               ,CORONA            ,NY,11368,0,"102 60 43RD AVENUE
CORONA, NY 11368
",0101000020E61000002A29AC23327752C0117BC5B4A65F4440,Queens,
